Keyword	Frequency	Score
Bleiberecht	1	7
Chtlingsdemonstration	1	4
Chtlingsaktivisten	1	-8
Holzpavillion	1	-2
Abgebrannt	1	-2
Mehraufwand	1	-5
Drogenbesitz	1	7
Eigenbedarf	1	-7
Hausausweis	1	-7
Haschisch	1	-1
Toleranz	1	8
Toleranzgrenze	1	-8
Besitz	1	10
Toleranzregelung	1	-9
Multiple Sklerose	1	-7
Landesbibliothek	1	-2
Aktionsgemeinschaft	1	-4
Gewerbepavillon	1	-2
Erhaltungsgebiet	1	-6
Bezirksamtssprecher	1	-3
Anwohnerversammlung	1	-2
Gartentrã	1	-6
Umeâ	1	-5
Olivenkraut	1	9
Hochbeete	1	-1
Naturfreund	1	7
Freudenbergfabrik	1	4
Aufenthaltsgenehmigung	1	-8
Pflegeplan	1	-6
Parkpflegewerk	1	10
Ferienwohnung	1	8
Abwasserstaustelle	1	10
Wandbild	1	0
Heroinkugel	1	-3
Gelchen	1	-6
Drogenbunker	1	-9
Drogenkriminalität	1	1
Hochgarage	1	9
Unterrichtsausfall	1	0
Protestbrief	1	3
Wandgemã	1	0
Wandgemälde	1	3
Drogenverkauf	1	2
Einwohnerversammlung	1	6
Smartphone	1	-9
Musikinstrument	1	6
Taskforce	1	-9
Versteck	1	-9
Erdbunker	1	3
Gartenamt	1	3
Motorsäge	1	1
Unterholz	1	-7
Drogenrazzia	1	-3
Weinbergspark	1	-3
Selbstorganisation	1	0
Spreewaldplatz	1	-10
Freizeitbad	1	-1
Foyer	1	-10
Park-Messer	1	5
Menschenmenge	1	-8
Haftstrafe	1	4
Chtlings	1	7
Werkstattgesprã	1	-8
Mitteâ	1	5
Keks	1	6
Vorlã	1	-9
Nachtzeit	1	6
Rauschmittel	1	-6
Vorzugen	1	1
Polizeieinheit	1	-4
Schuldach	1	-7
Anspannen	1	6
Diskriminierung	1	7
Hass	1	9
Rassismus	1	-8
Ultimatum	1	10
Festung	1	-9
Scherbe	1	-5
Polizeischutz	1	10
Meerschweinchen	1	8
Werkstattverfahren	1	-5
Interessengruppe	1	9
Eigentümer	1	5
Spontandemo	1	-1
Aufmarsch	1	-10
Pflege	1	-1
Drogenkunde	1	-4
Steuerungsanlage	1	-3
Geldmangel	1	7
Reitplatz	1	-8
Sportzentrum	1	-6
Legalisierung	1	-7
Messerstich	1	-7
Kunststoffkarte	1	-3
Kunstauktion	1	-3
Migrantenprojekt	1	-6
Auktionshaus	1	-5
Musikbeschallung	1	1
Chefsache	1	0
Morddrohung	1	-3
Fahndungsdruck	1	-3
Landesdenkmalamt	1	9
Engeldamm	1	-6
Farbbeutel	1	-10
Polizeiaufgebot	1	-1
Absperrung	1	2
Abbruch	1	-8
Reportage	1	-9
Saite	1	5
Weinstube	1	1
Kirchenkreis	1	7
Kreuzbergs-Geschichte	1	10
Staugefahr-Ã	1	-6
Höhenrettung	1	7
Body-Mass-Index	1	8
Kultfaktor	1	6
Kneipentisch	1	-10
Engastronomie	1	-9
Cherplatz	1	-1
Festplatz	1	-8
Ramadan	1	1
Hagelberger	1	4
Anhã	1	-4
Einigungspapier	1	-1
Protestlager	1	-1
Asylverfahren	1	5
Gewirr	1	6
Aufenthaltsrecht	1	-8
Brandursache	1	-5
Chtlingsschule	1	1
Rfte	1	-4
Weitere	1	10
Tütchen	1	0
Gangart	1	9
Nachzug	1	-8
Stadentwicklung	1	8
Freiraum	1	-9
Aussteiger	1	7
Menschen-Aussteiger	1	-1
Herrmann-Â	1	9
Gebenâ	1	2
Chtlingen	1	-3
Unterhalt	1	-9
Hsam	1	5
Barrikade	1	3
Chtlingszentrum	1	7
Polizeistreifen	1	1
Sandkasten	1	-4
Dealerszene	1	0
Unterbringung	1	-3
Jugendzirkus	1	3
Wanderzirkus	1	6
Postbahnhof	1	9
Chtling	1	-10
Kinderzirkus	1	-1
Standortsuche	1	-9
Zirkus	1	-7
Obergeschoss	1	-1
Kreativquartier	1	-2
Kreativzentrum	1	3
Blumengroßmarkt	1	1
Conciergedienst	1	7
Kollision	1	8
Protestcamp	1	3
Reichsbahnausbesserungswerk	1	-9
Schillingbrã	1	-10
Szenetreff	1	-7
Tauziehen	1	3
Chtlingscamp	1	4
Polizeigewalt	1	5
Polizeieinsã	1	-9
Auflã	1	8
Winterquartier	1	2
Protestierer	1	-2
Protestbewegung	1	-5
Enschilder	1	0
Bezirksã	1	-10
Oranienplatz-Senat	1	-7
Reifenwerfen	1	-1
Jobcenter	1	-6
Fonds	1	-9
Umzugsunternehmen	1	5
Traditionsunternehmen	1	8
Spree-Weitblick	1	-3
Drogenproblem	1	-5
Dealerproblem	1	8
O2world	1	-6
Pflaume	1	7
Oranienstraã	1	4
Blume	1	-6
Imbissbude	1	2
Verkaufsfenster	1	-6
Tourismuszahl	1	9
Hotelverbot	1	2
Beweggrã	1	-5
Mauermalerei	1	-5
Mauerkunst	1	0
Strafantrag	1	-8
Mauergalerie	1	-8
Aufruhr	1	1
Bildband	1	-10
Europã	1	-5
Ischen	1	7
Touristenschar	1	2
Hinterhof	1	1
Blauâ	1	3
Fluchttreppe	1	5
Kiezprojekt	1	6
World-Energie	1	10
Blockheizkraftwerk	1	2
Multifunktionsarena	1	-2
Bauvoranfrage	1	4
Crowdfunding	1	-9
Clublegende	1	6
Sammelunterkunft	1	7
Sozialstadtrat	1	-5
Protestaktion	1	5
Llung	1	-6
Radstreifen	1	-8
Hausdach	1	-4
Hausfassade	1	5
Verwirrte	1	3
Obachlos	1	5
Backshop	1	-7
Aufbewahrung	1	-3
Bierdurst	1	-8
Benefizveranstaltung	1	-5
Zeltlager	1	6
Grille	1	4
Hauptumschlagplatz	1	5
Wasserkutsche	1	10
Schneckentempo	1	-2
Bekennerschreiben	1	7
Drogenkontrolle	1	-4
Rettungswagen	1	0
M29er	1	-6
Musikclub	1	2
Haustechnik	1	9
Spende	1	9
Bestã	1	-7
Rzung	1	3
Partygã	1	5
Feuerwehreinsatz	1	-3
Tanzclub	1	6
Zeltplatz	1	3
Flaschenturm	1	-3
Grenzanlage	1	8
Hinterlandmauer	1	-4
Schlangenlinie	1	2
Tumult	1	-2
Fotoplakat	1	-7
Senatskanzlei	1	-9
Weg-Frau	1	7
Vollbremsung	1	-7
Intensivstation	1	4
Ffnet-Park	1	6
Kochstraã	1	7
Waterfront	1	-6
Zufahrt	1	1
Handtaschenrã	1	2
Berfallen	1	-4
Namensdebatte	1	4
Frauenquote	1	4
Getã	1	-3
Auto-Ursache	1	-3
Enumbenennung	1	-5
Bilderkampf	1	-8
Baumaschine	1	4
Umstrittene	1	-3
Oberbaumbrã	1	3
Ladezone	1	-6
Strandbar	1	-8
Urnovum	1	-7
Prinzessinnengã	1	-7
Moritzplatz	1	4
Gartenprojekt	1	-10
Familientreff	1	3
Familienzentrum	1	-3
Internetzensur	1	1
Urheberrechte	1	8
Philosophioe	1	1
Landesliste	1	0
Kiezparty	1	3
Laienkunst	1	2
Enumzug	1	4
Keramik	1	-4
Heizpilz	1	-6
Treuhandvertrag	1	4
Mariannenplatz	1	5
Osthafen	1	0
Lagerhausgesellschaft	1	7
Spreeseite	1	-9
Rage	1	2
Verhandlung	1	8
Schulstiftung	1	7
Bildungsinstitut	1	8
Privatschule	1	7
Kreuzungsbahnhof	1	-3
Ausnahmegenehmigung	1	8
Zusatzkosten	1	-8
Abrissarbeit	1	-3
